YearMonth,member_type,duration_in_minutes
2023-05,casual,28.0312
2023-05,member,12.5520
2023-06,casual,28.9179
2023-06,member,12.7121
2023-07,casual,31.8442
2023-07,member,13.2029
2023-08,casual,34.7558
2023-08,member,13.2829
2023-09,casual,24.6957
2023-09,member,12.6566
2023-10,casual,22.3817
2023-10,member,11.6624
2023-11,casual,19.4086
2023-11,member,11.0835
2023-12,casual,19.4434
2023-12,member,10.9573
2024-01,casual,20.8204
2024-01,member,13.3055
2024-02,casual,24.6994
2024-02,member,12.4239
2024-03,casual,24.4655
2024-03,member,11.4813
2024-04,casual,25.5203
2024-04,member,11.8744
2024-05,casual,27.2491
2024-05,member,13.0002
