Day,member_type,num_trips
01,casual,69651
01,member,125556
02,casual,70412
02,member,127719
03,casual,90137
03,member,135218
04,casual,98384
04,member,140083
05,casual,66470
05,member,127729
06,casual,69457
06,member,135525
07,casual,72557
07,member,138733
08,casual,72238
08,member,138184
09,casual,81513
09,member,140155
10,casual,84419
10,member,143447
11,casual,63302
11,member,126184
12,casual,70463
12,member,129014
13,casual,65287
13,member,128328
14,casual,62561
14,member,123194
15,casual,75241
15,member,141410
16,casual,79232
16,member,135736
17,casual,70960
17,member,127931
18,casual,80099
18,member,139549
19,casual,77378
19,member,131831
20,casual,76588
20,member,138059
21,casual,79692
21,member,140569
22,casual,74616
22,member,136872
23,casual,82602
23,member,134614
24,casual,74308
24,member,125738
25,casual,74664
25,member,128203
26,casual,60334
26,member,117492
27,casual,78554
27,member,131623
28,casual,66299
28,member,123319
29,casual,75579
29,member,132031
30,casual,79285
30,member,138699
31,casual,41388
31,member,81690
